id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
723716,3138065.0,38.93605,-77.04289,100%,68%,3.0,1.0,1.0,1.0,$61.00,5.0,15.0,0.0,7.0,13.0,65.0,56.0,10.0,2.0,4.66,4.78,4.69,4.89,4.91,4.78,4.75,3.0,3.0,0.0,0.46,100.0,6100.0,0.0,3.0,0.0,3.0,15.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",Entire rental unit,Entire home/apt,05/07/2015,06/06/2025,f,t
800076,3885360.0,38.91646194,-77.03011322,100%,100%,2.0,2.0,1.0,1.0,$139.00,1.0,1125.0,25.0,55.0,85.0,328.0,252.0,13.0,2.0,4.79,4.82,4.94,4.89,4.91,4.9,4.69,1.0,1.0,0.0,1.69,78.0,10842.0,0.0,1.0,0.0,1.2,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Entire rental unit,Entire home/apt,10/03/2013,14/06/2025,f,t
828497,3825475.0,38.94291,-77.07173,100%,100%,2.0,6.0,2.0,3.0,$165.00,3.0,30.0,8.0,32.0,57.0,205.0,133.0,10.0,1.0,4.89,4.92,4.8,4.95,4.97,4.93,4.85,1.0,0.0,1.0,0.9,60.0,9900.0,3.0,2.0,0.0,3.0,30.0,Private room in home,"Washington, DC",within an hour,t,t,"Friendship Heights, American University Park, Tenleytown",Private room in home,Private room,16/04/2013,18/05/2025,f,t
855587,4471145.0,38.91384,-77.04074,80%,71%,14.0,2.0,0.5,3.0,$133.00,14.0,360.0,3.0,5.0,16.0,179.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,0.0,1.0,28.0,3724.0,2.0,2.0,0.0,14.0,360.0,Entire rental unit,"Washington, DC",within a day,f,t,"Dupont Circle, Connecticut Avenue/K Street",Entire rental unit,Entire home/apt,11/06/2025,11/06/2025,f,t
873182,4608059.0,38.95345,-76.99504,100%,100%,1.0,3.0,1.0,2.0,$108.00,7.0,90.0,0.0,26.0,56.0,331.0,50.0,2.0,0.0,4.62,4.84,4.86,4.88,4.96,4.76,4.66,1.0,1.0,0.0,0.47,28.0,3024.0,1.0,1.0,0.0,7.0,1125.0,Entire rental unit,,within an hour,f,f,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",Entire rental unit,Entire home/apt,24/09/2016,19/10/2024,f,t
886283,4698675.0,38.94492,-77.09234,100%,67%,3.0,2.0,1.0,1.0,$83.00,30.0,1125.0,0.0,0.0,23.0,298.0,57.0,1.0,0.0,4.64,4.8,4.86,4.88,4.84,4.79,4.65,1.0,1.0,0.0,0.38,60.0,4980.0,1.0,1.0,0.0,30.0,1125.0,Entire rental unit,"Washington, DC",within a few hours,f,f,"Friendship Heights, American University Park, Tenleytown",Entire rental unit,Entire home/apt,23/01/2013,16/08/2024,f,t
898543,4795247.0,38.90153,-77.05434,90%,18%,3.0,5.0,,,,51.0,365.0,12.0,12.0,26.0,301.0,164.0,0.0,0.0,4.91,4.94,4.94,4.97,4.96,4.95,4.78,3.0,3.0,0.0,1.25,0.0,,3.0,3.0,0.0,51.0,365.0,Entire townhouse,"Washington, DC",within a day,f,t,"West End, Foggy Bottom, GWU",Entire townhouse,Entire home/apt,13/09/2014,23/03/2023,f,t
898544,4795247.0,38.8996,-77.05277,90%,18%,3.0,5.0,,,,31.0,365.0,0.0,12.0,12.0,215.0,129.0,1.0,0.0,4.91,4.95,4.95,4.98,4.97,4.95,4.84,3.0,3.0,0.0,0.94,62.0,,3.0,3.0,0.0,31.0,365.0,Entire townhouse,"Washington, DC",within a day,f,t,"West End, Foggy Bottom, GWU",Entire townhouse,Entire home/apt,11/03/2014,15/04/2025,f,t
914968,504401.0,38.90454,-76.98793,100%,100%,3.0,2.0,1.0,1.0,$66.00,2.0,4.0,0.0,0.0,3.0,3.0,68.0,0.0,0.0,4.91,4.94,4.99,4.94,4.96,4.63,4.91,1.0,0.0,1.0,0.47,0.0,0.0,1.0,2.0,0.0,2.0,4.0,Private room in home,"Washington, DC",within a day,f,t,"Ivy City, Arboretum, Trinidad, Carver Langston",Private room in home,Private room,13/08/2013,14/03/2022,f,t
1026034,2070536.0,38.91007,-77.03316,100%,100%,2.0,4.0,1.0,1.0,$151.00,2.0,1125.0,11.0,18.0,18.0,126.0,530.0,40.0,2.0,4.95,4.93,4.95,4.98,4.99,4.98,4.84,2.0,2.0,0.0,3.6,240.0,36240.0,0.0,2.0,0.0,2.0,1125.0,Entire rental unit,"Washington, DC",within an hour,t,t,"Shaw, Logan Circle",Entire rental unit,Entire home/apt,20/05/2013,20/05/2025,f,t
