id,host_id,latitude,longitude,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,reviews_per_month,estimated_occupancy_l365d,estimated_revenue_l365d,bedrooms,host_listings_count,calculated_host_listings_count_shared_rooms,minimum_nights_avg_ntm,maximum_nights_avg_ntm,property_type,host_location,host_response_time,host_is_superhost,host_identity_verified,neighbourhood_cleansed,property_type.1,room_type,first_review,last_review,instant_bookable,has_availability
11144448,2491932,38.94283,-77.02255,100,87,1,2,1,1,105,3,1125,17,47,77,333,235,19,2,4.88,4.95,4.94,4.89,4.94,4.79,4.85,1,1,0,2.09,114,11970,1,1,0,3,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"Brightwood Park, Crestwood, Petworth",Entire rental unit,Entire home/apt,03/10/2019,08/06/2025,f,t
11168876,58113599,38.92245,-77.04767,89,100,1,4,1,2,176,3,1125,5,5,33,273,187,18,4,4.86,4.93,4.83,4.97,4.91,4.96,4.84,1,1,0,1.67,108,19008,2,1,0,3,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"Kalorama Heights, Adams Morgan, Lanier Heights",Entire rental unit,Entire home/apt,04/05/2016,09/06/2025,t,t
11176974,58166745,38.90455,-77.05514,100,100,6,4,1,2,154,1,29,8,36,56,326,584,53,2,4.81,4.91,4.76,4.93,4.87,4.91,4.72,4,4,0,5.18,255,39270,1,5,0,2.8,1125,Entire rental unit,"Washington, DC",within an hour,t,t,"West End, Foggy Bottom, GWU",Entire rental unit,Entire home/apt,03/10/2019,26/05/2025,t,t
11183754,10532812,38.88973,-76.99003,100,98,1,2,1,1,151,3,8,19,33,63,319,381,39,4,4.95,4.99,4.96,4.99,4.97,4.96,4.93,1,1,0,3.37,234,35334,0,1,0,3,8,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,03/08/2016,09/06/2025,f,t
11296745,315148,38.93767,-77.02321,84,76,91,1,2,1,35,31,300,0,0,23,298,21,1,1,4.71,4.71,4.14,4.76,4.67,4.71,4.71,36,1,35,0.26,62,2170,1,75,0,31,300,Private room in rental unit,"Washington, DC",within a few hours,f,t,"Brightwood Park, Crestwood, Petworth",Private room in rental unit,Private room,10/08/2018,26/05/2025,f,t
11299890,3448315,38.92418,-77.05256,100,100,15,12,4.5,7,814,31,1125,0,1,1,80,54,0,0,4.83,4.8,4.78,4.92,4.91,5,4.64,12,5,7,0.49,0,0,6,15,0,31,1125,Entire home,"Washington, DC",within an hour,f,f,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",Entire home,Entire home/apt,03/10/2019,31/05/2022,f,t
11303521,59087346,38.87576,-77.01478,100,80,2,1,1,1,119,31,365,0,14,30,30,12,2,0,5,5,5,5,5,5,5,1,1,0,0.13,124,12338,1,2,0,31,365,Entire townhouse,"Washington, DC",within a few hours,t,t,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",Entire townhouse,Entire home/apt,03/10/2019,12/11/2024,f,t
11357292,50071999,38.96634,-77.02502,100,92,1,4,1,1,90,2,1125,17,20,49,324,72,9,2,4.71,4.88,4.86,4.97,4.97,4.78,4.77,1,1,0,0.68,54,4860,1,1,0,2,1125,Entire home,"Washington, DC",within an hour,t,t,"Takoma, Brightwood, Manor Park",Entire home,Entire home/apt,03/10/2019,16/06/2025,t,t
11362332,24327324,38.9154256,-77.0278993,100,87,1,2,1,1,119,2,365,5,18,41,204,124,83,7,4.95,4.94,4.98,4.98,5,4.98,4.94,1,1,0,6.74,255,12338,1,1,0,2,365,Entire home,"Washington, DC",within an hour,t,t,"Howard University, Le Droit Park, Cardozo/Shaw",Entire home,Entire home/apt,03/10/2019,15/06/2025,f,t
11371592,10292686,38.89033,-77.00325,100,87,31,4,1,1,119,31,365,8,38,68,343,55,0,0,4.87,4.89,4.84,4.96,4.91,4.95,4.73,16,16,0,0.49,0,12338,1,21,0,31,365,Entire rental unit,"Washington, DC",within an hour,t,t,"Capitol Hill, Lincoln Park",Entire rental unit,Entire home/apt,03/10/2019,08/05/2022,f,t
11413078,7408338,38.86472949,-76.98973402,100,94,2,4,1.5,2,279,3,1125,29,59,89,179,11,4,0,4.55,4.64,4.55,4.91,4.91,4.09,4.73,1,1,0,0.12,24,6696,2,2,0,3,1125,Entire home,"Washington, DC",within an hour,f,t,Historic Anacostia,Entire home,Entire home/apt,10/02/2017,02/09/2024,f,t
11413391,17051760,38.89837,-76.9958,100,100,1,2,1,2,81,31,365,3,9,39,147,122,2,0,4.58,4.81,4.76,4.96,4.93,4.88,4.64,1,1,0,1.15,124,10044,0,1,0,31,365,Entire rental unit,"Washington, DC",within an hour,t,t,"Union Station, Stanton Park, Kingman Park",Entire rental unit,Entire home/apt,03/10/2019,15/12/2024,f,t
